offer_id,product,category,ingredient,count,type
48809586360650,Green Flowers Wreath - 14 Inch,4,Freesia,5,stems count
48809586360650,Green Flowers Wreath - 14 Inch,4,Anthurium,6,stems count
48809586360650,Green Flowers Wreath - 14 Inch,4,Brassica,3,stems count
48809586393418,Green Flowers Wreath - 16 Inch,4,Chrysanthemum,8,stems count
48809586393418,Green Flowers Wreath - 16 Inch,4,Freesia,5,stems count
48809586393418,Green Flowers Wreath - 16 Inch,4,Anthurium,6,stems count
48809586393418,Green Flowers Wreath - 16 Inch,4,Brassica,3,stems count
48809586458954,Lilies and Roses Wreath - 12 Inch,4,Rose,11,stems count
48809586458954,Lilies and Roses Wreath - 12 Inch,4,Lily,7,stems count
48809586458954,Lilies and Roses Wreath - 12 Inch,4,Gypsophila,5,stems count
48809586458954,Lilies and Roses Wreath - 12 Inch,4,Alstroemeria,8,stems count
48809586491722,Lilies and Roses Wreath - 14 Inch,4,Rose,11,stems count
48809586491722,Lilies and Roses Wreath - 14 Inch,4,Lily,7,stems count
48809586491722,Lilies and Roses Wreath - 14 Inch,4,Gypsophila,5,stems count
48809586491722,Lilies and Roses Wreath - 14 Inch,4,Alstroemeria,8,stems count
48809586524490,Lilies and Roses Wreath - 16 Inch,4,Rose,11,stems count
48809586524490,Lilies and Roses Wreath - 16 Inch,4,Lily,7,stems count
48809586524490,Lilies and Roses Wreath - 16 Inch,4,Gypsophila,5,stems count
48809586524490,Lilies and Roses Wreath - 16 Inch,4,Alstroemeria,8,stems count
48809586590026,First Dance,1,Rose,12,stems count
48809586590026,First Dance,1,Calla Lily,4,stems count
48809586590026,First Dance,1,Carnation,8,stems count
48809586622794,White Flowers and Candle - 14 Inch,4,Rose,5,stems count
48809586622794,White Flowers and Candle - 14 Inch,4,Chrysanthemum,8,stems count
48809586622794,White Flowers and Candle - 14 Inch,4,Foliage,4,stems count
48809586655562,DAD White Floral Letters,4,Chrysanthemum,45,stems count
48809586655562,DAD White Floral Letters,4,Rose,6,stems count
48809586655562,DAD White Floral Letters,4,Freesia,8,stems count
48809586884938,Luxury Purple Flowers Wreath - 12 Inch,4,Tulip,3,stems count
48809586884938,Luxury Purple Flowers Wreath - 12 Inch,4,Orchid,4,stems count
48809586884938,Luxury Purple Flowers Wreath - 12 Inch,4,Calla Lily,5,stems count
48809586884938,Luxury Purple Flowers Wreath - 12 Inch,4,Berry,8,stems count
48809586884938,Luxury Purple Flowers Wreath - 12 Inch,4,Eucalyptus,6,stems count
48809586917706,Luxury Pure White Wreath - 12 Inch,4,Rose,12,stems count
48809586917706,Luxury Pure White Wreath - 12 Inch,4,Gerbera,8,stems count
48809586917706,Luxury Pure White Wreath - 12 Inch,4,Hydrangea,5,stems count
48809586917706,Luxury Pure White Wreath - 12 Inch,4,Baby's-breath,15,stems count
48809586917706,Luxury Pure White Wreath - 12 Inch,4,Gypsophila,15,stems count
48809586950474,Peony Perfection - 18 Stems,1,Peony,18,stems count
48809586983242,Luxury Purple Flowers Wreath - 14 Inch,4,Tulip,3,stems count
48809586983242,Luxury Purple Flowers Wreath - 14 Inch,4,Orchid,4,stems count
48809586983242,Luxury Purple Flowers Wreath - 14 Inch,4,Calla Lily,5,stems count
48809586983242,Luxury Purple Flowers Wreath - 14 Inch,4,Berry,8,stems count
48809586983242,Luxury Purple Flowers Wreath - 14 Inch,4,Eucalyptus,6,stems count
48809587016010,Luxury Pure White Wreath - 14 Inch,4,Rose,12,stems count
48809587016010,Luxury Pure White Wreath - 14 Inch,4,Gerbera,8,stems count
48809587016010,Luxury Pure White Wreath - 14 Inch,4,Hydrangea,5,stems count
48809587016010,Luxury Pure White Wreath - 14 Inch,4,Baby's-breath,15,stems count
